codigo_produto,marca_produto,tipo_produto,categoria_produto,preco_unitario,custo_produto,obs
BEA-ESS-ESS-001,Essence,beauty,beauty,9.99,6.992999999999999,The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.
BEA-GLA-EYE-002,Glamour Beauty,beauty,beauty,19.99,13.992999999999999,"The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application."
BEA-VEL-POW-003,Velvet Touch,beauty,beauty,14.99,10.493,"The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish."
BEA-CHI-LIP-004,Chic Cosmetics,beauty,beauty,12.99,9.093,"The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish."
BEA-NAI-NAI-005,Nail Couture,beauty,beauty,8.99,6.293,"The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home."
FRA-CAL-CAL-006,Calvin Klein,fragrances,fragrances,49.99,34.993,"CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear."
FRA-CHA-CHA-007,Chanel,fragrances,fragrances,129.99,90.993,"Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions."
FRA-DIO-DIO-008,Dior,fragrances,fragrances,89.99,62.992999999999995,"J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication."
FRA-DOL-DOL-009,Dolce & Gabbana,fragrances,fragrances,69.99,48.992999999999995,"Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent."
FRA-GUC-GUC-010,Gucci,fragrances,fragrances,79.99,55.992999999999995,"Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent."
FUR-ANN-ANN-011,Annibale Colombo,furniture,furniture,1899.99,1329.993,"The Annibale Colombo Bed is a luxurious and elegant bed frame, crafted with high-quality materials for a comfortable and stylish bedroom."
FUR-ANN-ANN-012,Annibale Colombo,furniture,furniture,2499.99,1749.9929999999997,"The Annibale Colombo Sofa is a sophisticated and comfortable seating option, featuring exquisite design and premium upholstery for your living room."
FUR-FUR-BED-013,Furniture Co.,furniture,furniture,299.99,209.993,"The Bedside Table in African Cherry is a stylish and functional addition to your bedroom, providing convenient storage space and a touch of elegance."
FUR-KNO-KNO-014,Knoll,furniture,furniture,499.99,349.993,"The Knoll Saarinen Executive Conference Chair is a modern and ergonomic chair, perfect for your office or conference room with its timeless design."
FUR-BAT-WOO-015,Bath Trends,furniture,furniture,799.99,559.9929999999999,"The Wooden Bathroom Sink with Mirror is a unique and stylish addition to your bathroom, featuring a wooden sink countertop and a matching mirror."
GRO-BRD-APP-016,,groceries,groceries,1.99,1.393,"Fresh and crisp apples, perfect for snacking or incorporating into various recipes."
GRO-BRD-BEE-017,,groceries,groceries,12.99,9.093,"High-quality beef steak, great for grilling or cooking to your preferred level of doneness."
GRO-BRD-FOO-018,,groceries,groceries,8.99,6.293,Nutritious cat food formulated to meet the dietary needs of your feline friend.
GRO-BRD-CHI-019,,groceries,groceries,9.99,6.992999999999999,"Fresh and tender chicken meat, suitable for various culinary preparations."
GRO-BRD-COO-020,,groceries,groceries,4.99,3.493,"Versatile cooking oil suitable for frying, sautéing, and various culinary applications."
GRO-BRD-CUC-021,,groceries,groceries,1.49,1.043,"Crisp and hydrating cucumbers, ideal for salads, snacks, or as a refreshing side."
GRO-BRD-FOO-022,,groceries,groceries,10.99,7.693,Specially formulated dog food designed to provide essential nutrients for your canine companion.
GRO-BRD-EGG-023,,groceries,groceries,2.99,2.093,"Fresh eggs, a versatile ingredient for baking, cooking, or breakfast."
GRO-BRD-FIS-024,,groceries,groceries,14.99,10.493,"Quality fish steak, suitable for grilling, baking, or pan-searing."
GRO-BRD-GRE-025,,groceries,groceries,1.29,0.9029999999999999,"Fresh and vibrant green bell pepper, perfect for adding color and flavor to your dishes."
GRO-BRD-GRE-026,,groceries,groceries,0.99,0.693,"Spicy green chili pepper, ideal for adding heat to your favorite recipes."
GRO-BRD-HON-027,,groceries,groceries,6.99,4.893,"Pure and natural honey in a convenient jar, perfect for sweetening beverages or drizzling over food."
GRO-BRD-CRE-028,,groceries,groceries,5.49,3.843,"Creamy and delicious ice cream, available in various flavors for a delightful treat."
GRO-BRD-JUI-029,,groceries,groceries,3.99,2.793,"Refreshing fruit juice, packed with vitamins and great for staying hydrated."
GRO-BRD-KIW-030,,groceries,groceries,2.49,1.743,"Nutrient-rich kiwi, perfect for snacking or adding a tropical twist to your dishes."
