produto,status,message
BEA-ESS-ESS-001,success,
BEA-GLA-EYE-002,success,
BEA-VEL-POW-003,success,
BEA-CHI-LIP-004,success,
BEA-NAI-NAI-005,success,
FRA-CAL-CAL-006,success,
FRA-CHA-CHA-007,success,
FRA-DIO-DIO-008,success,
FRA-DOL-DOL-009,success,
FRA-GUC-GUC-010,success,
FUR-ANN-ANN-011,success,
FUR-ANN-ANN-012,success,
FUR-FUR-BED-013,success,
FUR-KNO-KNO-014,success,
FUR-BAT-WOO-015,success,
GRO-BRD-APP-016,success,
GRO-BRD-BEE-017,success,
GRO-BRD-FOO-018,success,
GRO-BRD-CHI-019,success,
GRO-BRD-COO-020,success,
GRO-BRD-CUC-021,success,
GRO-BRD-FOO-022,success,
GRO-BRD-EGG-023,success,
GRO-BRD-FIS-024,success,
GRO-BRD-GRE-025,success,
GRO-BRD-GRE-026,success,
GRO-BRD-HON-027,success,
GRO-BRD-CRE-028,success,
GRO-BRD-JUI-029,success,
GRO-BRD-KIW-030,success,
